"","CD_CD_CD_103","CD_CD_CD_105","CD_CD_CD_106","CD_CD_HFD_200","CD_CD_HFD_201","CD_CD_HFD_203","CD_CD_HFD_205","CD_CD_HFD_206","CD_CD_HFD_207","HFD_CD_CD_800","HFD_CD_CD_801","HFD_CD_CD_802","HFD_CD_CD_803","HFD_CD_HFD_700","HFD_CD_HFD_701","HFD_CD_HFD_702","HFD_CD_HFD_703","HFD_HFD_CD_601","HFD_HFD_CD_602","HFD_HFD_CD_603","HFD_HFD_CD_604","HFD_HFD_CD_605","HFD_HFD_CD_606","HFD_HFD_HFD_500","HFD_HFD_HFD_501","HFD_HFD_HFD_502","HFD_HFD_HFD_503","HFD_HFD_HFD_504"
"Car(14:2)",0,0,0,0,0,0,0,0,0,0,0.0398697387552326,0.0131226379951146,0,0,0,0,0,0,0,0,0,0,0.0226792005224341,0.0126305118250996,0,0.0186284496151037,0,0
"Car(14:1)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016025621157093,0,0,0,0,0
"Car(14:0)",0.0357961759178418,0.0597883184883349,0.102324249829038,0.0676382847283264,0.034613703599907,0.0412528998680571,0.0533452986149656,0.025641872923033,0.0626041207348066,0.0423162312526815,0.0451477174565258,0.0264493361504403,0.029037540149126,0.0269400887323773,0.0346550323487222,0.0813820338630483,0.0243521118737117,0.0508080508015649,0.0399224257015423,0.0347762045412964,0.0261564753391073,0.0355794704803317,0.0729764584790612,0.0388212027183586,0.0533243674971691,0.044581012911857,0.172271200568986,0.0617971979254339
"Car(16:2)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Car(16:1)",0.0342156589500069,0.0458468511350729,0.0473635735699607,0.036503840426306,0.0505842673211725,0.0556726735258387,0.0277713665958891,0.0334632749227838,0.05404233552026,0.0536725501839256,0.0541735158032887,0.0289747986460445,0.0270150330099708,0.0261028851729118,0.056941984542873,0.0438182790055777,0.0322261442348875,0.047814954381161,0,0.0387716136421306,0.0279686008389476,0.038150268718377,0.0821869133433691,0.0296501062552331,0.0376993573345873,0.0629679091837805,0.0388998830982624,0.0412760865852195
"Car(16:0)",0.101561699428467,0.134981990788893,0.157014484403502,0.0963602647788745,0.189366963268542,0.259137002752151,0.177135573683404,0.173237229697284,0.249863059560339,0.224875683580688,0.175617852894677,0.0777661061837015,0.0710009022720645,0.121454761539922,0.192307023771188,0.166505991908359,0.144344600738876,0.296427471877096,0.0819352951246822,0.151589050358458,0.128743019441765,0.169040983899443,0.312758151647224,0.173215843777156,0.206655531729044,0.130975991110335,0.208344139811604,0.22936871920082
"Car(18:2)",0.0454231096722863,0.042569300036691,0.0802865506023493,0.0504254048150637,0.0669339440820146,0.0664865015608306,0.0464418924818285,0.0657518919037753,0.0916382303926532,0.0413115273137975,0.0501662111431077,0.0198043001640785,0,0.0260467946118558,0.0372872998331333,0.0699905530363047,0.0421425301131101,0.0539981369544298,0,0.0453184450600599,0.022009018452223,0.0346429205109704,0.0897263692756384,0.0513686723714202,0.0646990607498002,0.086544597060299,0.0500616470734911,0.0698324760587358
"Car(18:1)",0.107916456378769,0.151248835304841,0.13762348580977,0.114681337632037,0.244213690710361,0.228186804663493,0.131215106355395,0.17160966666878,0.0638607173480442,0.25648430238235,0.216870620027288,0.051006319533111,0.0656590752906916,0.105691236454999,0.169096358207207,0.191685943099815,0.140084774549912,0.327171257792746,0.0476600971000351,0.264517912826602,0.111654809644008,0.0793050400230271,0.279146169716196,0.188602950630152,0.200501641297611,0.243087387173055,0.184250223062023,0.228647490059329
"Car(18:0)",0.0775711843779176,0.109694323816397,0.133205721949526,0.13162460978425,0.119176404022236,0.181696363988127,0.242675210139385,0.22031454199827,0.338595274641895,0.201164275070293,0.454200429668105,0.119805987395058,0.0631565684684706,0.23668139337444,0.188422798530402,0.185402516344738,0.183864563267597,0.24867563071119,0.0463088827524518,0.132671686494008,0.0905318040810641,0.13162769829454,0.228388864272023,0.190832936762197,0.255615517498177,0.166368963796899,0.187079194854437,0.242066993664756
"Car(20:2)",0,0,0.0158092953072632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0211505771969625,0,0,0,0,0,0,0,0,0,0
"Car(20:1)",0.027254519584951,0.0340623492279792,0.0269798561095372,0.0188690418739977,0.0393304162814869,0.0413871957861932,0.0392668194618271,0.0566214080780482,0.0819370441039273,0.0304417382427217,0.0377831582245642,0,0,0.0394482838478649,0.0425623554553705,0.0251394875416988,0.0754320484932368,0.0635052821977701,0,0.0511785300076124,0,0,0.0390926303053927,0.043505996472601,0.0314557109807265,0.0189348978863024,0.0281153153620222,0.0362346234773669
