"","NAME","CLASS","SAMPLE","IS","chemsc","C","db","MASS","ERROR","ISpmol"
"CE(14:0)","CE(14:0)","CHES",1,0,"H76 C41 O2 N1","14",0,"614.5828","-6.93 ppm",111.6
"CE(16:2)","CE(16:2)","CHES",1,0,"H76 C43 O2 N1","16",2,"638.584","-4.75 ppm",111.6
"CE(16:1)","CE(16:1)","CHES",1,0,"H78 C43 O2 N1","16",1,"640.6024","-0.43 ppm",111.6
"CE(16:0)","CE(16:0)","CHES",1,0,"H80 C43 O2 N1","16",0,"642.6184","0.01 ppm",111.6
"CE(18:4)","CE(18:4)","CHES",1,0,"H76 C45 O2 N1","18",4,"662.5913","6.36 ppm",111.6
"CE(18:3)","CE(18:3)","CHES",1,0,"H78 C45 O2 N1","18",3,"664.6018","-1.39 ppm",111.6
"CE(18:2)","CE(18:2)","CHES",1,0,"H80 C45 O2 N1","18",2,"666.618","-0.54 ppm",111.6
"CE(18:1)","CE(18:1)","CHES",1,0,"H82 C45 O2 N1","18",1,"668.6341","0.08 ppm",111.6
"CE(18:0)","CE(18:0)","CHES",1,0,"H84 C45 O2 N1","18",0,"670.6502","0.85 ppm",111.6
"CE(20:4)","CE(20:4)","CHES",1,0,"H80 C47 O2 N1","20",4,"690.6175","-1.23 ppm",111.6
"CE(20:3)","CE(20:3)","CHES",1,0,"H82 C47 O2 N1","20",3,"692.6337","-0.44 ppm",111.6
"CE(20:2)","CE(20:2)","CHES",1,0,"H84 C47 O2 N1","20",2,"694.6493","-0.54 ppm",111.6
"CE(20:1)","CE(20:1)","CHES",1,0,"H86 C47 O2 N1","20",1,"696.6647","-0.93 ppm",111.6
"CE(20:0)","CE(20:0)","CHES",1,0,"H88 C47 O2 N1","20",0,"698.6803","-0.89 ppm",111.6
"CE(22:4)","CE(22:4)","CHES",1,0,"H84 C49 O2 N1","22",4,"718.6448","-6.76 ppm",111.6
"CE(22:3)","CE(22:3)","CHES",1,0,"H86 C49 O2 N1","22",3,"720.6616","-5.08 ppm",111.6
"CE(22:1)","CE(22:1)","CHES",1,0,"H90 C49 O2 N1","22",1,"724.6935","-4.26 ppm",111.6
"CE(22:0)","CE(22:0)","CHES",1,0,"H92 C49 O2 N1","22",0,"726.7123","0.05 ppm",111.6
"CE(24:4)","CE(24:4)","CHES",1,0,"H88 C51 O2 N1","24",4,"746.6783","-3.58 ppm",111.6
"CE(24:1)","CE(24:1)","CHES",1,0,"H94 C51 O2 N1","24",1,"752.7243","-4.81 ppm",111.6
"CE(24:0)","CE(24:0)","CHES",1,0,"H96 C51 O2 N1","24",0,"754.7421","-1.91 ppm",111.6
"Cer(d18:1/12:0)","Cer(d18:1/12:0)","CERA",1,0,"H60 C30 O3 N1","12",0,"482.4563","-0.97 ppm",32.2
"Cer(d18:1/16:1)","Cer(d18:1/16:1)","CERA",1,0,"H66 C34 O3 N1","16",1,"536.5024","-2.45 ppm",32.2
"Cer(d18:1/16:0)","Cer(d18:1/16:0)","CERA",1,0,"H68 C34 O3 N1","16",0,"538.5178","-2.89 ppm",32.2
"Cer(d18:1/18:2)","Cer(d18:1/18:2)","CERA",1,0,"H68 C36 O3 N1","18",2,"562.5187","-1.26 ppm",32.2
"Cer(d18:1/18:1)","Cer(d18:1/18:1)","CERA",1,0,"H70 C36 O3 N1","18",1,"564.5351","0.09 ppm",32.2
"Cer(d18:1/18:0)","Cer(d18:1/18:0)","CERA",1,0,"H72 C36 O3 N1","18",0,"566.5506","-0.06 ppm",32.2
"Cer(d18:1/20:2)","Cer(d18:1/20:2)","CERA",1,0,"H72 C38 O3 N1","20",2,"590.5469","-6.35 ppm",32.2
"Cer(d18:1/20:1)","Cer(d18:1/20:1)","CERA",1,0,"H74 C38 O3 N1","20",1,"592.5656","-1.25 ppm",32.2
"Cer(d18:1/20:0)","Cer(d18:1/20:0)","CERA",1,0,"H76 C38 O3 N1","20",0,"594.5816","-0.62 ppm",32.2
"Cer(d18:1/22:2)","Cer(d18:1/22:2)","CERA",1,0,"H76 C40 O3 N1","22",2,"618.5819","-0.03 ppm",32.2
"Cer(d18:1/22:1)","Cer(d18:1/22:1)","CERA",1,0,"H78 C40 O3 N1","22",1,"620.5979","0.45 ppm",32.2
"Cer(d18:1/22:0)","Cer(d18:1/22:0)","CERA",1,0,"H80 C40 O3 N1","22",0,"622.6134","0.19 ppm",32.2
"Cer(d18:1/24:2)","Cer(d18:1/24:2)","CERA",1,0,"H80 C42 O3 N1","24",2,"646.613","-0.42 ppm",32.2
"Cer(d18:1/24:1)","Cer(d18:1/24:1)","CERA",1,0,"H82 C42 O3 N1","24",1,"648.6287","-0.32 ppm",32.2
"Cer(d18:1/24:0)","Cer(d18:1/24:0)","CERA",1,0,"H84 C42 O3 N1","24",0,"650.6422","-3.63 ppm",32.2
"Cer(d18:1/26:1)","Cer(d18:1/26:1)","CERA",1,0,"H86 C44 O3 N1","26",1,"676.66","-0.28 ppm",32.2
"Cer(d18:1/26:0)","Cer(d18:1/26:0)","CERA",1,0,"H88 C44 O3 N1","26",0,"678.6758","-0.10 ppm",32.2
"DAG(28:0)","DAG(28:0)","DACG",1,0,"H64 C31 O5 N1","28",0,"530.4774","-1.03 ppm",64.3
"DAG(30:1)","DAG(30:1)","DACG",1,0,"H66 C33 O5 N1","30",1,"556.4928","-1.35 ppm",64.3
"DAG(30:0)","DAG(30:0)","DACG",1,0,"H68 C33 O5 N1","30",0,"558.5089","-0.61 ppm",64.3
"DAG(32:2)","DAG(32:2)","DACG",1,0,"H68 C35 O5 N1","32",2,"582.5086","-1.02 ppm",64.3
"DAG(32:1)","DAG(32:1)","DACG",1,0,"H70 C35 O5 N1","32",1,"584.5244","-0.81 ppm",64.3
"DAG(32:0)","DAG(32:0)","DACG",1,0,"H72 C35 O5 N1","32",0,"586.5401","-0.75 ppm",64.3
"DAG(34:3)","DAG(34:3)","DACG",1,0,"H70 C37 O5 N1","34",3,"608.525","0.22 ppm",64.3
"DAG(34:2)","DAG(34:2)","DACG",1,0,"H72 C37 O5 N1","34",2,"610.541","0.78 ppm",64.3
"DAG(34:1)","DAG(34:1)","DACG",1,0,"H74 C37 O5 N1","34",1,"612.5564","0.39 ppm",64.3
"DAG(36:4)","DAG(36:4)","DACG",1,0,"H72 C39 O5 N1","36",4,"634.5376","-4.53 ppm",64.3
"DAG(36:3)","DAG(36:3)","DACG",1,0,"H74 C39 O5 N1","36",3,"636.5563","0.18 ppm",64.3
"DAG(36:2)","DAG(36:2)","DACG",1,0,"H76 C39 O5 N1","36",2,"638.5719","0.10 ppm",64.3
"DAG(36:1)","DAG(36:1)","DACG",1,0,"H78 C39 O5 N1","36",1,"640.5875","0.09 ppm",64.3
"DAG(36:0)","DAG(36:0)","DACG",1,0,"H80 C39 O5 N1","36",0,"642.6027","-0.67 ppm",64.3
"DAG(38:5)","DAG(38:5)","DACG",1,0,"H74 C41 O5 N1","38",5,"660.5565","0.58 ppm",64.3
"DAG(38:4)","DAG(38:4)","DACG",1,0,"H76 C41 O5 N1","38",4,"662.5721","0.49 ppm",64.3
"DAG(38:3)","DAG(38:3)","DACG",1,0,"H78 C41 O5 N1","38",3,"664.5872","-0.32 ppm",64.3
"DAG(38:2)","DAG(38:2)","DACG",1,0,"H80 C41 O5 N1","38",2,"666.6032","0.21 ppm",64.3
"DAG(38:1)","DAG(38:1)","DACG",1,0,"H82 C41 O5 N1","38",1,"668.6187","-0.02 ppm",64.3
"DiHexCer(d18:1/16:1)","DiHexCer(d18:1/16:1)","LACC",1,0,"H86 C46 O13 N1","16",1,"860.6074","-2.25 ppm",55.2
