"","NAME","CLASS","SuperClass","SAMPLE","IS","chemsc","C","db","MASS","ERROR","ISpmol"
"Car(14:2)","Car(14:2)","CARN","Car",1,0,"H38 C21 O4 N1",14,2,368.2798,"0.81 ppm",46
"Car(14:1)","Car(14:1)","CARN","Car",1,0,"H40 C21 O4 N1",14,1,370.2953,"0.23 ppm",46
"Car(14:0)","Car(14:0)","CARN","Car",1,0,"H42 C21 O4 N1",14,0,372.3109,"0.23 ppm",46
"Car(16:2)","Car(16:2)","CARN","Car",1,0,"H42 C23 O4 N1",16,2,396.3108,"-0.15 ppm",46
"Car(16:1)","Car(16:1)","CARN","Car",1,0,"H44 C23 O4 N1",16,1,398.3263,"-0.45 ppm",46
"Car(16:0)","Car(16:0)","CARN","Car",1,0,"H46 C23 O4 N1",16,0,400.3429,"2.03 ppm",46
"Car(18:2)","Car(18:2)","CARN","Car",1,0,"H46 C25 O4 N1",18,2,424.3426,"1.08 ppm",46
"Car(18:1)","Car(18:1)","CARN","Car",1,0,"H48 C25 O4 N1",18,1,426.3581,"0.85 ppm",46
"Car(18:0)","Car(18:0)","CARN","Car",1,0,"H50 C25 O4 N1",18,0,428.374,"1.32 ppm",46
"Car(20:2)","Car(20:2)","CARN","Car",1,0,"H50 C27 O4 N1",20,2,452.3733,"-0.20 ppm",46
"Car(20:1)","Car(20:1)","CARN","Car",1,0,"H52 C27 O4 N1",20,1,454.3889,"-0.32 ppm",46
"Car(20:0)","Car(20:0)","CARN","Car",1,0,"H54 C27 O4 N1",20,0,456.4047,"-0.18 ppm",46
"CarOH(14:2)","CarOH(14:2)","CARN","CarOH",1,0,"H38 C21 O5 N1",14,2,384.2748,"1.04 ppm",46
"CarOH(14:0)","CarOH(14:0)","CARN","CarOH",1,0,"H42 C21 O5 N1",14,0,388.3052,"-1.37 ppm",46
"CarOH(16:2)","CarOH(16:2)","CARN","CarOH",1,0,"H42 C23 O5 N1",16,2,412.3061,"0.95 ppm",46
"CarOH(16:1)","CarOH(16:1)","CARN","CarOH",1,0,"H44 C23 O5 N1",16,1,414.3219,"1.32 ppm",46
"CarOH(16:0)","CarOH(16:0)","CARN","CarOH",1,0,"H46 C23 O5 N1",16,0,416.3375,"1.08 ppm",46
"CarOH(18:2)","CarOH(18:2)","CARN","CarOH",1,0,"H46 C25 O5 N1",18,2,440.3372,"0.24 ppm",46
