"","ID","Hif1a","Condition","Date","Merged","Celltype","Maternal.diet"
"12565",12565,"wt","cdcdhfd",20191219,"wt_cdcdhfd_HC","HC","Maternal_lean"
"12566",12566,"ko","cdcdhfd",20191219,"ko_cdcdhfd_HC","HC","Maternal_lean"
"12567",12567,"ko","cdcdhfd",20191219,"ko_cdcdhfd_HC","HC","Maternal_lean"
"12572",12572,"ko","cdcdcd",20200107,"ko_cdcdcd_HC","HC","Maternal_lean"
"12581",12581,"wt","cdcdcd",20200115,"wt_cdcdcd_HC","HC","Maternal_lean"
"12582",12582,"wt","cdcdcd",20200115,"wt_cdcdcd_HC","HC","Maternal_lean"
"12583",12583,"wt","cdcdcd",20200115,"wt_cdcdcd_HC","HC","Maternal_lean"
"12590",12590,"ko","cdcdcd",20200123,"ko_cdcdcd_HC","HC","Maternal_lean"
"12591",12591,"wt","cdcdcd",20200123,"wt_cdcdcd_HC","HC","Maternal_lean"
"12595",12595,"wt","cdcdcd",20200127,"wt_cdcdcd_HC","HC","Maternal_lean"
"12602",12602,"wt","cdcdhfd",20200218,"wt_cdcdhfd_HC","HC","Maternal_lean"
"12603",12603,"ko","hfdcdcd",20200218,"ko_hfdcdcd_HC","HC","Maternal_obese"
"12616",12616,"ko","cdcdhfd",20200304,"ko_cdcdhfd_HC","HC","Maternal_lean"
"12617",12617,"wt","cdcdhfd",20200304,"wt_cdcdhfd_HC","HC","Maternal_lean"
"12618",12618,"wt","hfdhfdhfd",20200304,"wt_hfdhfdhfd_HC","HC","Maternal_obese"
"12619",12619,"ko","hfdcdcd",20200304,"ko_hfdcdcd_HC","HC","Maternal_obese"
"12629",12629,"ko","cdcdcd",20200312,"ko_cdcdcd_HC","HC","Maternal_lean"
"12630",12630,"ko","cdcdcd",20200312,"ko_cdcdcd_HC","HC","Maternal_lean"
"12631",12631,"ko","cdcdcd",20200312,"ko_cdcdcd_HC","HC","Maternal_lean"
"12644",12644,"ko","cdcdhfd",20200317,"ko_cdcdhfd_HC","HC","Maternal_lean"
"12645",12645,"ko","cdcdhfd",20200317,"ko_cdcdhfd_HC","HC","Maternal_lean"
"12646",12646,"wt","cdcdhfd",20200317,"wt_cdcdhfd_HC","HC","Maternal_lean"
"12647",12647,"wt","cdcdhfd",20200317,"wt_cdcdhfd_HC","HC","Maternal_lean"
"12654",12654,"ko","hfdhfdhfd",20200414,"ko_hfdhfdhfd_HC","HC","Maternal_obese"
"12655",12655,"wt","hfdhfdhfd",20200414,"wt_hfdhfdhfd_HC","HC","Maternal_obese"
"12665",12665,"wt","hfdhfdhfd",20200804,"wt_hfdhfdhfd_HC","HC","Maternal_obese"
"12666",12666,"wt","hfdcdcd",20200804,"wt_hfdcdcd_HC","HC","Maternal_obese"
"12667",12667,"wt","hfdcdcd",20200804,"wt_hfdcdcd_HC","HC","Maternal_obese"
"12677",12677,"ko","hfdhfdhfd",20201104,"ko_hfdhfdhfd_HC","HC","Maternal_obese"
"12690",12690,"wt","hfdhfdhfd",20201216,"wt_hfdhfdhfd_HC","HC","Maternal_obese"
"12691",12691,"wt","hfdhfdhfd",20201216,"wt_hfdhfdhfd_HC","HC","Maternal_obese"
"12692",12692,"wt","hfdhfdhfd",20201216,"wt_hfdhfdhfd_HC","HC","Maternal_obese"
"12693",12693,"ko","hfdcdcd",20201216,"ko_hfdcdcd_HC","HC","Maternal_obese"
