"","ID","Hif1a","Condition","Date","Merged","Celltype","Maternal.diet"
"12551",12551,"ko","cdcdhfd",20191016,"ko_cdcdhfd_KC","KC","Maternal_lean"
"12553",12553,"ko","cdcdhfd",20191023,"ko_cdcdhfd_KC","KC","Maternal_lean"
"12555",12555,"ko","hfdcdcd",20191121,"ko_hfdcdcd_KC","KC","Maternal_obese"
"12557",12557,"wt","hfdcdcd",20191126,"wt_hfdcdcd_KC","KC","Maternal_obese"
"12558",12558,"wt","hfdcdcd",20191126,"wt_hfdcdcd_KC","KC","Maternal_obese"
"12568",12568,"wt","cdcdcd",20200107,"wt_cdcdcd_KC","KC","Maternal_lean"
"12569",12569,"ko","cdcdcd",20200107,"ko_cdcdcd_KC","KC","Maternal_lean"
"12573",12573,"wt","cdcdcd",20200115,"wt_cdcdcd_KC","KC","Maternal_lean"
"12574",12574,"wt","cdcdcd",20200115,"wt_cdcdcd_KC","KC","Maternal_lean"
"12584",12584,"ko","cdcdcd",20200123,"ko_cdcdcd_KC","KC","Maternal_lean"
"12585",12585,"wt","cdcdcd",20200123,"wt_cdcdcd_KC","KC","Maternal_lean"
"12592",12592,"wt","cdcdcd",20200127,"wt_cdcdcd_KC","KC","Maternal_lean"
"12596",12596,"wt","cdcdhfd",20200218,"wt_cdcdhfd_KC","KC","Maternal_lean"
"12597",12597,"ko","hfdcdcd",20200218,"ko_hfdcdcd_KC","KC","Maternal_obese"
"12604",12604,"ko","cdcdhfd",20200304,"ko_cdcdhfd_KC","KC","Maternal_lean"
"12605",12605,"wt","cdcdhfd",20200304,"wt_cdcdhfd_KC","KC","Maternal_lean"
"12607",12607,"ko","hfdcdcd",20200304,"ko_hfdcdcd_KC","KC","Maternal_obese"
"12620",12620,"ko","cdcdcd",20200312,"ko_cdcdcd_KC","KC","Maternal_lean"
"12621",12621,"ko","cdcdcd",20200312,"ko_cdcdcd_KC","KC","Maternal_lean"
"12622",12622,"ko","cdcdcd",20200312,"ko_cdcdcd_KC","KC","Maternal_lean"
"12632",12632,"ko","cdcdhfd",20200317,"ko_cdcdhfd_KC","KC","Maternal_lean"
"12633",12633,"ko","cdcdhfd",20200317,"ko_cdcdhfd_KC","KC","Maternal_lean"
"12634",12634,"wt","cdcdhfd",20200317,"wt_cdcdhfd_KC","KC","Maternal_lean"
"12635",12635,"wt","cdcdhfd",20200317,"wt_cdcdhfd_KC","KC","Maternal_lean"
"12648",12648,"ko","hfdhfdhfd",20200414,"ko_hfdhfdhfd_KC","KC","Maternal_obese"
"12649",12649,"wt","hfdhfdhfd",20200414,"wt_hfdhfdhfd_KC","KC","Maternal_obese"
"12656",12656,"wt","hfdhfdhfd",20200804,"wt_hfdhfdhfd_KC","KC","Maternal_obese"
"12657",12657,"wt","hfdcdcd",20200804,"wt_hfdcdcd_KC","KC","Maternal_obese"
"12658",12658,"wt","hfdcdcd",20200804,"wt_hfdcdcd_KC","KC","Maternal_obese"
"12668",12668,"ko","hfdhfdhfd",20201104,"ko_hfdhfdhfd_KC","KC","Maternal_obese"
"12669",12669,"ko","hfdhfdhfd",20201104,"ko_hfdhfdhfd_KC","KC","Maternal_obese"
"12670",12670,"ko","hfdhfdhfd",20201104,"ko_hfdhfdhfd_KC","KC","Maternal_obese"
"12678",12678,"wt","hfdhfdhfd",20201216,"wt_hfdhfdhfd_KC","KC","Maternal_obese"
"12680",12680,"wt","hfdhfdhfd",20201216,"wt_hfdhfdhfd_KC","KC","Maternal_obese"
"12681",12681,"wt","hfdcdcd",20201216,"wt_hfdcdcd_KC","KC","Maternal_obese"
