NAME	LSEC	hepatocytes	KC	B cells	HSC	cholangiocytes	T cells	DC/monocyte	proliferating cells
A1cf	1	432.608110981831	1	1	1	1	1	1	1
A230001M10Rik	1	1	1	1	1	1173.15067549222	1	1	1
A330040F15Rik	1	1	286.101616366902	1	1	1	1	1	1
A630001G21Rik	1	1	204.324468164716	427.284285599604	1	1	1	1	1
A930015D03Rik	1	1	1	1	1	1	235.119213839047	1	1
AB124611	1	1	349.587857963596	1	1	1	1	1	1
AI182371	1	485.862774194921	1	1	1	1	1	1	1
AI504432	1	1	1	1	1	1	308.498186949068	1	1
AI662270	1	1	1	1	1	1	1	341.988369062219	1
AI838599	1	1	1	1	1	345.377764961226	1	1	1
AU040320	1	1	1	1	1	416.621454545205	1	1	1
AW112010	1	1	180.184890489718	1	1	1	312.436145076288	1	1
Aacs	1	260.150685871744	1	1	1	1	1	1	1
Abca3	1	1	1	1	1	1	1	172.140253216328	1
Abca6	1	399.576231395842	1	1	1	1	1	1	1
Abca7	1	1	1	231.349974209992	1	1	1	1	1
Abca8a	1	96.8331148051827	1	1	452.203297955286	1	1	1	1
Abca8b	1	190.192373172657	1	1	1	1	1	1	1
Abca9	1	1	375.320720293211	1	1	1	1	1	1
Abcb11	1	692.841842983457	1	1	1	1	1	1	1
Abcb1a	1	1	1	1	1	194.543980540469	444.879325107792	1	1
Abcb4	1	925.380079141967	1	1	1	1	1	1	1
Abcc2	1	2820.05749417405	1	1	232.968714430724	1	584.097595837897	1	1
Abcc3	1	1	936.634168975119	1	1	372.125388279186	1	1	1
Abcc4	303.391101446464	1	1	1	1	1	1	1	333.611729339854
Abcc6	1	550.04493242126	1	1	1	1	1	1	1
Abcc9	1	1	1	1	1926.49276327387	1	1	1	1
Abce1	1	97.8934827286234	1	187.922679822597	1	1	1	149.076273285472	1
Abcg1	1	1	260.095832097654	1	1	1	1	1	1
Abcg2	317.275844231611	1	1	1	1	1	1	1	184.553220626225
Abcg3	1	1	1103.01736031181	1	1	1	1	432.02417074138	1
Abcg5	1	230.880459481331	1	1	1	1	1	1	1
Abcg8	1	183.868177505375	1	1	1	1	1	1	1
Abhd12	1	1	553.473502492247	1	1	1	1	1	1
Abhd17b	267.603999915649	180.796964671399	1	936.645534130382	1	1	1	1	281.792163985726
Abhd17c	1	197.305206843632	1	1	1	1	1	1	1
Abhd2	1	178.203279828949	1	1	1	1	217.805316645019	1	1
Abi2	266.057523327393	1	1	1	372.914209027806	1	1	1	271.27354461515
Abi3	250.734420681629	1	380.77325135445	1	1	1	1	1	173.736221342516
Abi3bp	1	1	1	1	872.784288149059	1	1	1	1
Ablim1	1	100.816221515159	1	440.9673375788	1	780.462629466159	883.996561256862	1	1
Ablim2	1	1	1	1	367.577138741037	1	1	1	1
Ablim3	1	302.163644001086	1	1	1	1	1	1	1
Abr	1	1	1261.86801953787	307.40487352751	1	510.630230515248	208.903347251542	1	1
Abtb2	1	236.138830625449	1	1	1	1	234.96409069686	1	1
Acaa1a	1	239.380726310486	1	1	1	1	1	1	1
Acacb	1	285.659715164617	1	1	1	1	1	1	1
Acad11	1	399.488162087269	1	1	1	1	1	1	1
Acadl	1	1	1	1	1	1	1	203.762745240939	156.016674631334
Acadm	1	181.068921042559	1	1	1	1	1	1	1
Acap1	1	1	1	1	1	1	477.160681593876	1	1
Acap3	1	1	1	1	1	1	1	1	160.541639735861
Acat1	1	232.476570557071	1	1	1	1	1	1	1
Acer2	1406.91670756957	1	1	1	282.630810113861	1	1	1	420.965239511381
Acmsd	1	176.762972102367	1	1	1	1	1	1	1
Acnat1	1	90.4961427093698	1	1	1	294.631416651248	1	1	1
