Mixture	LSEC	hepatocytes	KC	B cells	HSC	cholangiocytes	T cells	DC/monocyte	proliferating cells	P-value	Correlation	RMSE
cdcdcd_Adult_5820	0.00981024656562117	0	0.702164982692932	0.00102967008415184	0.160309846160667	0.0774062531213597	0.0492790013752678	0	0	0.012	0.960778271979348	0.400581156104722
cdcdcd_Adult_5824	0	0	0.780953665350562	0	0.119787855914684	0	0.0992584787347539	0	0	0.012	0.963593280385978	0.345357794224136
cdcdcd_Adult_5825	0	0.00793628105331175	0.720061815147781	0	0.115106629740421	0.0828358332035066	0.056660557259003	0	0.0173988835959767	0.012	0.962790058425716	0.385896076880945
cdcdhfd_Adult_5826	2.60045462938796e-17	0	0.804319409949751	0	0.114486256072816	2.60045462938796e-17	0.0811943339774338	0	0	0.002	0.978538220723086	0.300118313442109
cdcdhfd_Adult_5827	0	0.0302760982251278	0.671713956611796	0	0.151929405837828	0.0610146275266358	0.0850659117986124	0	0	0.014	0.957481047653293	0.413012950250115
cdcdhfd_Adult_5828	0	0.0602423696468203	0.672131276563373	0	0.195175853764882	5.99328960007575e-17	0	5.99328960007575e-17	0.0724505000249253	0.012	0.961965961439979	0.40124045155123
hfdcdhfd_Adult_5861	0	0.0650342561567228	0.559669308087827	0	0.231384075273022	0.143912360482428	0	0	0	0.042	0.928284103356713	0.50237472063273
hfdcdhfd_Adult_5946	8.56499099362188e-18	0	0.821163884916034	0	0.11688388672868	8.56499099362188e-18	0.0619522283552864	0	0	0.002	0.979705617380701	0.287792021727053
hfdhfdcd_Adult_5947	4.37331815985306e-17	0	0.724707282209982	0	0.148939469602629	0.019224300925017	0.107128947262372	0	0	0.02	0.952454321306975	0.396323037457938
hfdcdcd_Adult_5948	5.30767997370472e-17	0	0.552845702881505	0	0.155207492008942	0.203139009225974	0.0888077958835783	0	0	0.116	0.788705317661914	0.644617593801361
hfdcdcd_Adult_5949	0	0	0.588697663738128	0	0.138259281521809	0.196949248292087	0.0760938064479756	0	0	0.048	0.90937392036144	0.522185210878023
hfdcdhfd_Adult_5950	0.0406368859044849	0	0.800360461861032	0.00426519205700414	0.0607114924018766	0.00977702609191536	0.0842489416836866	0	0	0.034	0.938730905744379	0.385119655703582
hfdhfdcd_Adult_5951	2.32362283130792e-17	0	0.798185254678222	2.32362283130792e-17	0.133195300088663	2.32362283130792e-17	0.0686194452331149	0	0	0.002	0.97887835570271	0.303364141719189
hfdhfdcd_Adult_5952	0.0191362292344146	0	0.835805885844661	0	0.0815705244852659	9.82513534038501e-17	0.0634873604356583	0	0	0.02	0.952386572322451	0.344362506970692
hfdcdcd_Adult_5954	4.41670358973211e-17	0	0.762717938012815	4.41670358973211e-17	0.110066170142459	0.00986026764744256	0.117355624197283	0	0	0.014	0.957054655244634	0.367569525849968
hfdhfdhfd_Adult_5979	0.0576438352569777	0	0.821985872843391	0.00605021823894681	0.0451711873791177	0.0150420997872383	0.0541067864943287	0	0	0.038	0.935511050486189	0.382760321340256
hfdhfdhfd_Adult_5980	0	0	0.798949112811762	0	0.113721851775566	0	0.0873290354126717	0	0	0.002	0.978416339737702	0.303434602220428
hfdhfdcd_Adult_5981	0.0209001166784914	0	0.831866336979862	0.00219364770856426	0.0514280012119602	0.0235374778897497	0.0700744195313726	0	0	0.046	0.913075957980815	0.421832657913008
hfdhfdcd_Adult_5982	0	0	0.700005769824445	0	0.116381866455604	0.0676646409381867	0.115947722781764	0	0	0.032	0.941262597349805	0.428539996046585
cdcdhfd_Adult_6024	0	0.0727082044737073	0.4097973694281	0	0.211199493471132	0.283146695230102	0.0231482373969588	0	0	0.1	0.821114900008521	0.643141343675974
cdcdcd_Adult_6026	0	0.0382889442842298	0.708562498601688	0	0.201861534304704	6.08364120066882e-17	0	6.08364120066882e-17	0.0512870228093781	0.00600000000000001	0.972667906088035	0.365743364477345
cdcdcd_Adult_6027	0	0.068452744902199	0.545380262970515	0	0.226402482757314	0.159764509369972	0	0	0	0.022	0.947769726646776	0.487261088452678
